ml_1,mAU_1,ml_2,mAU_2
0.19168,0.401741,0.191777,0.330119
0.192305,0.404031,0.192401,0.332038
0.192929,0.405701,0.193026,0.334764
0.193554,0.407037,0.19365,0.33819
0.194178,0.407625,0.194275,0.340707
0.194803,0.407901,0.194899,0.343351
0.195427,0.408753,0.195524,0.345711
0.196052,0.409539,0.196149,0.347368
0.196676,0.410389,0.196773,0.349695
0.197301,0.411643,0.197398,0.352243
0.197925,0.412448,0.198022,0.354988
0.19855,0.413464,0.198647,0.357478
0.199175,0.414703,0.199271,0.359587
0.199799,0.416308,0.199896,0.361165
0.200424,0.417549,0.20052,0.362812
0.201048,0.418756,0.201145,0.364139
0.201673,0.420139,0.201769,0.366231
0.202297,0.420442,0.202394,0.368041
0.202922,0.420395,0.203019,0.368946
0.203546,0.421283,0.203643,0.369857
0.204171,0.421697,0.204268,0.371396
0.204795,0.421465,0.204892,0.373349
0.20542,0.421738,0.205517,0.375022
0.206044,0.422726,0.206141,0.377033
0.206669,0.424262,0.206766,0.377994
0.207294,0.424714,0.20739,0.379596
0.207918,0.42436,0.208015,0.381072
0.208543,0.424178,0.208639,0.38241
0.209167,0.425158,0.209264,0.38362
0.209792,0.425858,0.209889,0.385072
0.210416,0.42628,0.210513,0.386388
0.211041,0.426101,0.211138,0.386754
0.211665,0.424513,0.211762,0.387484
0.21229,0.422835,0.212387,0.388461
0.212914,0.422089,0.213011,0.388772
0.213539,0.422028,0.213636,0.388636
0.214164,0.421718,0.21426,0.389162
0.214788,0.421664,0.214885,0.389742
0.215413,0.422163,0.215509,0.390047
0.216037,0.422667,0.216134,0.391115
0.216662,0.423078,0.216759,0.392256
0.217286,0.423452,0.217383,0.393314
0.217911,0.423983,0.218008,0.394016
0.218535,0.424658,0.218632,0.395106
0.21916,0.426259,0.219257,0.39541
0.219784,0.427842,0.219881,0.396378
0.220409,0.428901,0.220506,0.396514
0.221034,0.429676,0.22113,0.396753
0.221658,0.429325,0.221755,0.396529
0.222283,0.42824,0.222379,0.397472
0.222907,0.426191,0.223004,0.397902
0.223532,0.42457,0.223629,0.397943
0.224156,0.424147,0.224253,0.397777
0.224781,0.42449,0.224878,0.397311
0.225405,0.424631,0.225502,0.396818
0.22603,0.424979,0.226127,0.396441
0.226654,0.425375,0.226751,0.396605
0.227279,0.425434,0.227376,0.397513
0.227904,0.425293,0.228,0.398463
0.228528,0.425043,0.228625,0.39874
0.229153,0.424683,0.229249,0.399238
0.229777,0.423865,0.229874,0.399466
0.230402,0.422617,0.230499,0.399603
0.231026,0.420893,0.231123,0.399974
0.231651,0.419638,0.231748,0.400015
0.232275,0.418351,0.232372,0.400246
0.2329,0.417618,0.232997,0.400421
0.233524,0.417891,0.233621,0.400656
0.234149,0.416975,0.234246,0.401663
0.234774,0.416082,0.23487,0.402097
0.235398,0.415079,0.235495,0.401655
0.236023,0.41421,0.236119,0.40153
0.236647,0.413406,0.236744,0.401701
0.237272,0.412942,0.237369,0.401768
0.237896,0.411054,0.237993,0.401787
0.238521,0.410784,0.238618,0.401905
0.239145,0.410377,0.239242,0.402247
0.23977,0.410554,0.239867,0.402258
0.240394,0.409724,0.240491,0.402371
0.241019,0.40877,0.241116,0.402901
0.241643,0.408105,0.24174,0.402722
0.242268,0.407798,0.242365,0.402147
0.242893,0.408135,0.242989,0.401569
0.243517,0.407785,0.243614,0.401258
0.244142,0.407213,0.244239,0.401528
0.244766,0.406769,0.244863,0.402568
0.245391,0.406288,0.245488,0.403243
0.246015,0.405801,0.246112,0.403245
0.24664,0.404754,0.246737,0.403159
0.247264,0.404277,0.247361,0.401974
0.247889,0.404166,0.247986,0.400995
0.248513,0.403867,0.24861,0.400933
0.249138,0.403069,0.249235,0.399794
0.249763,0.400999,0.249859,0.399105
0.250387,0.397818,0.250484,0.399133
0.251012,0.394578,0.251109,0.39881
0.251636,0.392019,0.251733,0.398909
0.252261,0.38987,0.252358,0.398745
0.252885,0.388774,0.252982,0.398805
0.25351,0.388765,0.253607,0.39863
0.254134,0.388569,0.254231,0.399369
0.254759,0.387484,0.254856,0.399619
0.255383,0.386244,0.25548,0.399156
0.256008,0.38502,0.256105,0.399572
0.256633,0.384264,0.25673,0.400515
0.257257,0.383895,0.257354,0.40071
0.257882,0.383029,0.257979,0.400363
0.258506,0.382348,0.258603,0.400094
0.259131,0.382178,0.259228,0.399592
0.259755,0.382027,0.259852,0.399375
0.26038,0.382045,0.260477,0.398947
0.261004,0.381648,0.261101,0.399267
0.261629,0.381458,0.261726,0.398959
0.262253,0.381341,0.26235,0.398827
0.262878,0.38071,0.262975,0.399189
0.263503,0.379653,0.2636,0.399452
0.264127,0.37878,0.264224,0.399622
0.264752,0.378007,0.264849,0.398925
0.265376,0.377709,0.265473,0.398135
0.266001,0.37778,0.266098,0.398183
0.266625,0.378056,0.266722,0.398397
0.26725,0.379102,0.267347,0.398131
0.267874,0.379497,0.267971,0.39785
0.268499,0.378905,0.268596,0.397869
0.269123,0.379478,0.26922,0.39818
0.269748,0.37945,0.269845,0.397604
0.270373,0.378509,0.27047,0.397297
0.270997,0.377232,0.271094,0.397517
0.271622,0.376144,0.271719,0.39728
0.272246,0.375816,0.272343,0.397014
0.272871,0.375631,0.272968,0.397593
0.273495,0.375627,0.273592,0.398596
0.27412,0.375944,0.274217,0.399005
0.274744,0.376207,0.274841,0.3999
0.275369,0.375925,0.275466,0.399887
0.275993,0.375973,0.27609,0.399446
0.276618,0.376195,0.276715,0.399284
0.277243,0.3763,0.27734,0.399509
0.277867,0.376683,0.277964,0.40003
0.278492,0.376489,0.278589,0.40054
0.279116,0.376136,0.279213,0.401453
0.279741,0.375273,0.279838,0.402381
0.280365,0.37443,0.280462,0.403038
0.28099,0.37436,0.281087,0.40381
0.281614,0.374006,0.281711,0.404272
0.282239,0.374207,0.282336,0.404962
0.282863,0.374199,0.28296,0.404929
0.283488,0.373951,0.283585,0.40466
0.284112,0.374376,0.28421,0.404865
0.284737,0.373664,0.284834,0.405181
0.285362,0.373552,0.285459,0.404824
0.285986,0.373795,0.286083,0.404582
0.286611,0.373482,0.286708,0.405381
0.287235,0.373114,0.287332,0.405785
0.28786,0.373463,0.287957,0.406282
0.288484,0.373605,0.288581,0.407289
0.289109,0.373584,0.289206,0.407489
0.289733,0.372787,0.28983,0.407327
0.290358,0.372155,0.290455,0.407208
0.290982,0.372081,0.29108,0.407345
0.291607,0.371525,0.291704,0.407631
0.292232,0.371586,0.292329,0.406975
0.292856,0.371349,0.292953,0.40624
0.293481,0.371921,0.293578,0.406269
0.294105,0.372805,0.294202,0.406175
0.29473,0.374128,0.294827,0.405616
0.295354,0.373873,0.295451,0.405573
0.295979,0.374188,0.296076,0.405834
